,artifact_id,repo_path
104,com.github.jiconfont:jiconfont-typicons,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.jiconfont:jiconfont-typicons
105,org.reaktivity:nukleus-flow.spec,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.reaktivity:nukleus-flow.spec
106,net.smartcosmos:smartcosmos-dao-relationships-default,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.smartcosmos:smartcosmos-dao-relationships-default
107,org.mule.services:mule-service-oauth,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.mule.services:mule-service-oauth
108,am.ik.yavi:yavi,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/am.ik.yavi:yavi
109,edu.iu.uits.lms:lms-canvas-viewem,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/edu.iu.uits.lms:lms-canvas-viewem
110,org.mapdb:mapdb-hz-offheap,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.mapdb:mapdb-hz-offheap
111,com.github.nikita-volkov.java:djdbc-functional-java,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.nikita-volkov.java:djdbc-functional-java
112,de.rub.nds:Asn1Tool,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.rub.nds:Asn1Tool
113,ca.mestevens.ios:xcode-project-parser,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ca.mestevens.ios:xcode-project-parser
114,io.github.awidesky:ProcessExecutor,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.awidesky:ProcessExecutor
115,org.jisel:jisel,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jisel:jisel
116,org.skife.vmware:vmrun-java-wrapper,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.skife.vmware:vmrun-java-wrapper
117,net.reevik:shade,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.reevik:shade
118,top.continew:continew-starter-security-crypto,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/top.continew:continew-starter-security-crypto
119,com.github.vicenthy.filehelpers4j:FileHelpers4J,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.vicenthy.filehelpers4j:FileHelpers4J
120,ca.exprofesso:guava-jcache,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ca.exprofesso:guava-jcache
121,de.matrixweb.nodejs:nodejs,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.matrixweb.nodejs:nodejs
122,com.github.kasiprasad.contextspec:contextspec,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.kasiprasad.contextspec:contextspec
123,com.pcl-solutions.maven.wagons:rsync-maven-wagon,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.pcl-solutions.maven.wagons:rsync-maven-wagon
124,net.reevik:shade,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.reevik:shade
125,top.continew:continew-starter-security-crypto,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/top.continew:continew-starter-security-crypto
126,com.github.vicenthy.filehelpers4j:FileHelpers4J,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.vicenthy.filehelpers4j:FileHelpers4J
127,ca.exprofesso:guava-jcache,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ca.exprofesso:guava-jcache
