artifact_id, repo_path
"at.molindo:molindo-amazonclient","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/at.molindo:molindo-amazonclient"
"de.mytoys.maven.plugins:jspc-maven-plugin","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.mytoys.maven.plugins:jspc-maven-plugin"
"com.github.ajurasz:embedded-es-annotation","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.ajurasz:embedded-es-annotation"
"org.freehep:freehep-psviewer","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.freehep:freehep-psviewer"
"io.github.kilmajster:keycloak-event-listener-slack","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.kilmajster:keycloak-event-listener-slack"
"org.schmidrules:schmidrules","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.schmidrules:schmidrules"
"com.power4j.fist:fist-support-security","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.power4j.fist:fist-support-security"
"com.tosan.tools:tosan-mask-spring-boot-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.tosan.tools:tosan-mask-spring-boot-starter"
"com.mobius-software.mqttsn:mqtt-sn-parser","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.mobius-software.mqttsn:mqtt-sn-parser"
"com.webotech:state-machine","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.webotech:state-machine"
"se.bjornblomqvist:jarinstaller","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.bjornblomqvist:jarinstaller"
"com.github.timols:seeder","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.timols:seeder"
"de.elomagic:spps-jbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.elomagic:spps-jbc"
"org.ianitrix:kafka-tracing-interceptors","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.ianitrix:kafka-tracing-interceptors"
"org.apache.servicecomb.pack:omega-spring-cloud-eureka-starter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.apache.servicecomb.pack:omega-spring-cloud-eureka-starter"
"net.tirasa.connid.bundles:net.tirasa.connid.bundles.azure","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.tirasa.connid.bundles:net.tirasa.connid.bundles.azure"
"de.zalando:zmon-eventlog-service","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.zalando:zmon-eventlog-service"
"com.github.livesense:org.liveSense.service.apacheds","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.livesense:org.liveSense.service.apacheds"
"org.jsmart:rest-bdd-zerocode","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jsmart:rest-bdd-zerocode"
"io.github.ucl-ingi:JavaGrader","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.ucl-ingi:JavaGrader"
"io.burt:athena-jdbc","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.burt:athena-jdbc"
"tech.energyit:fast-java-statsd-client","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/tech.energyit:fast-java-statsd-client"
"org.webframe:extjs","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.webframe:extjs"
"io.github.okvee:tscfg-docgen-core","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.okvee:tscfg-docgen-core"
"com.cogpunk:cogpunk-mathhammer","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.cogpunk:cogpunk-mathhammer"
"dev.mccue:jlayer-converter","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/dev.mccue:jlayer-converter"
"net.sf.jasperreports:jasperreports-chrome","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.sf.jasperreports:jasperreports-chrome"
"com.github.jiconfont:jiconfont-typicons","/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.jiconfont:jiconfont-typicons"
